name,description,category,damage,hits,effects,chance,range,mana_cost,cooldown,active,image,notes
Stab,A quick forward strike aimed to pierce, Dagger,3,1,,,1,0,1,TRUE,broad-dagger.png,
Slash,A cutting motion across the target, Dagger,4,1,,,1,0,1,TRUE,diving-dagger.png,
Dual Slash,Crossing strikes with two daggers, Dagger,3,2,,,1,0,1,TRUE,thrown-daggers.png,
Pommel Strike,A blunt head strike with a chance of KO, Dagger,3,1,ko effect/paralesis,,1,0,1,TRUE,deadly-strike.png,
Backstab,"A precise strike from behind, dealing critical damage to an unsuspecting foe", Dagger,7,1,,,1,0,1,TRUE,backstab.png,
Flurry,"A rapid series of slashes and stabs, overwhelming the enemy with speed", Dagger,2,8,,,1,0,1,TRUE,daggers.png,
Venom Fang,"Pierces flesh with poisonous intent, leaving a creeping, debilitating poison in its wake", Dagger,10,4,,,1,0,1,TRUE,sacrificial-dagger.png,
Frostbite Slash,A freezing cut that slows or immobilizes, Dagger,5,1,"slow, paralisis",,1,0,1,TRUE,snowing.png,
Shadow step,Teleports the wielder behind target for an instant stab, Dagger,15,1,,,1,0,1,TRUE,cloak-dagger.png,
Crimson Kiss,Strike steals a portion of the enemy’s vitality, Dagger,9,1,steal life taken,,1,0,1,TRUE,bloody-sword.png,
Blink Blades,"Your dagger vanishes and reappears mid-strike, bypassing defense", Dagger,15,1,"bypass ac?, always conncts",,1,0,1,TRUE,flying-dagger.png,
Punch,Strike delivered with a closed fist,Unarmed,1,1,,,1,0,0,TRUE,punch.png,
Kick,A forceful strike delivered with the leg or foot,Unarmed,2,1,,,1,0,0,TRUE,leg.png,
Elbow Strike,"Short, brutal close-range hit",Unarmed,4,1,,,1,0,1,TRUE,armored-boomerang.png,
Roundhouse Kick,"swinging knee, combining speed and power",Unarmed,5,1,,,1,0,1,TRUE,high-kick.png,
Headbutt,risky but powerful,Unarmed,7,1,"does damage to you, chance??, effect maybe",,1,0,1,TRUE,confrontation.png,
Chokehold,restrict breathing/blood flow,Unarmed,3,1,"not too much damage, but some sort of effect",,1,0,1,TRUE,convince.png,
Iron Sweep,A low kick that sends out multple shockwaves of damage,Unarmed,3,3,,,1,0,1,TRUE,boot-kick.png,
Cyclone Attack,Deliver a series of blows that become more powerful with each one that connects,Unarmed,2,5,how do other strikes deal more,,1,0,1,TRUE,armor-punch.png,
Lightning Strike,A jab infused with lightning,Unarmed,12,1,,,1,0,1,TRUE,lightning-tree.png,
Phantom Kick,Kick delivers a powerful initial strike w/ echoing after images dealing further damage ,Unarmed,10,3,after strikes should be less,,1,0,1,TRUE,ghost.png,
Dragon Fang Palm,A Fiery palm strike that explodes on impact.,Unarmed,15,1,,,1,0,1,TRUE,spiked-dragon-head.png,
Meteor Fist,A punch that crashes down with the force of a falling star,Unarmed,20,1,,,1,0,1,TRUE,burning-meteor.png,
Unlock Unarmed Combat,"Striking with fists, feet, and body to damage foes without weapons",Weapon Material Unlock,0,0,,,0,0,0,FALSE,arm.png,
Unlock Wooden Weapons,"Simple arms carved from timber, light but fragile",Weapon Material Unlock,0,0,,,0,0,0,FALSE,wood-stick.png,
Unlock Stone Weapons,"Primitive arms of wood and sharpened rock, crude but deadly",Weapon Material Unlock,0,0,,,0,0,0,FALSE,stone-pile.png,
Unlock Iron Weapons,"Sturdy arms of forged metal, stronger and sharper than the basics",Weapon Material Unlock,0,0,,,0,0,0,FALSE,gold-stack.png,
Unlock Steel Weapons,"Reliable arms of refined iron, durable and well-balanced for battle",Weapon Material Unlock,0,0,,,0,0,0,FALSE,melting-metal.png,
Unlock Silver Weapons,"Lighter and softer than steel, but priceless against some magical or supernatural foes",Weapon Material Unlock,0,0,,,0,0,0,FALSE,silver-bullet.png,
Unlock Mithril Weapons,"Rare, silvery arms of extraordinary lightness and strength, prized for their elegance and almost magical sharpness",Weapon Material Unlock,0,0,,,0,0,0,FALSE,metal-bar.png,
Unlock Adamant Weapons,"Unyielding arms of near-mythic hardness, forged to pierce the toughest armor and endure the fiercest battles.",Weapon Material Unlock,0,0,,,0,0,0,FALSE,gold-bar.png,
Unlock Drakonium Weapons,"Forged from the bones of ancient dragons, these fearsome arms radiate primal power and strike with fiery ferocity",Weapon Material Unlock,0,0,,,0,0,0,FALSE,dragon-head.png,
Unlock Orichalcum Weapons,"Crafted from a fabled metal, these weapons shimmer with otherworldly might",Weapon Material Unlock,0,0,,,0,0,0,FALSE,black-bar.png,
Unlock Voidmetal Weapons ,"Dark, otherworldly arms that seem to swallow light, imbued with shadowy energy that corrupts and terrifies those it strikes",Weapon Material Unlock,0,0,,,0,0,0,FALSE,fomorian.png,
Unlock Nova Steel Weapons,"Radiant arms forged in the heart of exploding stars, glowing with raw cosmic energy and searing power",Weapon Material Unlock,0,0,,,0,0,0,FALSE,star-prominences.png,damascus stell with startdust
Unlock Divinium Weapons,"Blessed by the gods themselves; they radiate divine authority, channel celestial power, and make their wielder near unstoppable",Weapon Material Unlock,0,0,,,0,0,0,FALSE,angel-wings.png,orichalcum blessed by god
Unlock Legendary Weapons,"Unique, weapons of myth, wieled only by the mightiest heroes. Their strikes echo through legend and time",Weapon Material Unlock,0,0,,,0,0,0,FALSE,sparkling-sabre.png,
Search,Look for resources on the ground.,,0,0,,,1,0,1,TRUE,dig-dug.png,
Gather,Collect visible items on the map.,,0,0,,,1,0,1,TRUE,herbs-bundle.png,
Throw Item,Hurl an item at an enemy,,3,1,,,2,0,1,TRUE,throwing-ball.png,
